Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
FIS;FIS;XLF;Financials;Transaction & Payment Processing Services;Florida;10/11/2006;1968;69.000;14.574.000.128;8.866.000.128;5.708.000.000;19.517.999.104;32.081.981.440
FITB;Fifth Third Bank;XLF;Financials;Regional Banks;Ohio;29/3/1996;1858;19.225;8.208.999.936;385.999.936;7.823.000.000;22.027.999.232;16.552.412.160
FLT;Fleetcor;XLF;Financials;Transaction & Payment Processing Services;Atlanta;20/6/2018;2000;9.900;3.626.117.120;963.695.120;2.662.422.000;6.757.541.888;18.642.442.240
FMC;FMC Corporation;XLB;Materials;Fertilizers & Agricultural Chemicals;Pennsylvania;19/8/2009;1883;6.600;5.358.000.128;3.031.200.128;2.326.800.000;4.831.200.256;7.921.856.000
FOX;Fox Corporation (Class B);XLC;Communication Services;Movies & Entertainment;New York;18/9/2015;2019;10.400;14.913.000.448;9.689.000.448;5.224.000.000;8.207.000.064;14.154.018.816
FOXA;Fox Corporation (Class A);XLC;Communication Services;Movies & Entertainment;New York;1/7/2013;2019;10.400;14.913.000.448;9.689.000.448;5.224.000.000;8.207.000.064;14.142.389.248
FRT;Federal Realty;XLRE;Real Estate;Retail REITs;Maryland;1/2/2016;1962;314;1.111.591.936;381.011.936;730.580.000;4.576.219.136;7.216.961.024
FSLR;First Solar;XLK;Information Technology;Semiconductors;Arizona;19/12/2022;1999;5.500;2.990.283.008;2.862.625.008;127.658.000;483.296.992;15.527.886.848
FTNT;Fortinet;XLK;Information Technology;Systems Software;California;11/10/2018;2000;13.677;4.987.599.872;1.655.099.872;3.332.500.000;1.064.300.032;45.565.255.680
FTV;Fortive;XLI;Industrials;Industrial Machinery & Supplies & Components;Washington;1/7/2016;2016;18.000;5.973.000.192;2.609.600.192;3.363.400.000;3.144.100.096;26.260.989.952
GD;General Dynamics;XLI;Industrials;Aerospace & Defense;Virginia;4/3/1957;1899;106.500;40.859.000.832;34.237.000.832;6.622.000.000;11.484.999.680;59.182.071.808
GE;General Electric;XLI;Industrials;Industrial Conglomerates;Massachusetts;4/3/1957;1892;172.000;80.938.000.384;62.402.000.384;18.536.000.000;23.879.000.064;118.328.680.448
GEHC;GE HealthCare;XLV;Health Care;Health Care Technology;Illinois;4/1/2023;1994;50.000;19.037.999.104;11.858.999.104;7.179.000.000;10.608.000.000;30.747.049.984
GEN;Gen Digital;XLK;Information Technology;Application Software;Arizona;25/3/2003;1982;3.700;3.576.999.936;2.925.155.881;651.844.055;9.610.999.808;10.864.067.584
GILD;Gilead Sciences;XLV;Health Care;Biotechnology;California;1/7/2004;1987;17.000;27.381.999.616;5.757.999.616;21.624.000.000;25.245.999.104;93.076.938.752
GIS;General Mills;XLP;Consumer Staples;Packaged Foods & Meats;Minnesota;4/3/1957;1856;34.000;20.281.300.992;13.735.500.992;6.545.800.000;12.282.399.744;36.248.555.520
GL;Globe Life;XLF;Financials;Life & Health Insurance;Texas;30/4/1989;1900;3.543;5.268.239.872;3.917.579.872;1.350.660.000;2.056.349.056;10.437.751.808
GLW;Corning Inc.;XLK;Information Technology;Electronic Components;New York;27/2/1995;1851;57.500;13.315.000.320;8.472.000.320;4.843.000.000;8.553.999.872;25.316.505.600
GM;General Motors;XLY;Consumer Discretionary;Automobile Manufacturers;Michigan;6/6/2013;1908;167.000;169.728.999.424;148.574.999.424;21.154.000.000;120.920.997.888;41.703.833.600
GNRC;Generac;XLI;Industrials;Electrical Components & Equipment;Wisconsin;22/3/2021;1959;9.160;4.025.819.904;2.503.815.904;1.522.004.000;1.739.788.032;6.294.594.048
GOOG;Alphabet Inc. (Class C);XLC;Communication Services;Interactive Media & Services;California;3/4/2006;1998;181.798;289.531.002.880;132.898.002.880;156.633.000.000;29.432.000.512;1.708.659.965.952
GPC;Genuine Parts Company;XLY;Consumer Discretionary;Automotive Parts & Equipment;Atlanta;31/12/1973;1925;58.000;22.879.047.680;15.138.943.680;7.740.104.000;4.266.317.056;20.039.098.368
GPN;Global Payments;XLF;Financials;Transaction & Payment Processing Services;Atlanta;25/4/2016;2000;25.000;9.283.270.656;4.054.272.656;5.228.998.000;17.588.615.168;29.670.516.736
GRMN;Garmin;XLY;Consumer Discretionary;Consumer Electronics;Switzerland;12/12/2012;1989;19.700;4.915.009.024;2.108.234.024;2.806.775.000;142.440.000;20.023.963.648
GS;Goldman Sachs;XLF;Financials;Investment Banking & Brokerage;New York;22/7/2002;1869;44.600;43.755.999.232;6.225.999.232;37.530.000.000;638.347.968.512;102.362.849.280
GWW;W. W. Grainger;XLI;Industrials;Industrial Machinery & Supplies & Components;Illinois;30/6/1981;1927;23.000;16.017.000.448;10.168.000.448;5.849.000.000;2.782.000.128;35.128.131.584
HAL;Halliburton;XLE;Energy;Oil & Gas Equipment & Services;Texas;4/3/1957;1919;47.000;22.414.000.128;19.171.000.128;3.243.000.000;9.075.999.744;34.198.661.120
HAS;Hasbro;XLY;Consumer Discretionary;Leisure Products;Rhode Island;30/9/1984;1923;6.490;5.565.400.064;2.649.700.064;2.915.700.000;4.067.099.904;8.311.972.864
HBAN;Huntington Bancshares;XLF;Financials;Regional Banks;Michigan;28/8/1997;1866;20.198;7.240.000.000;284.000.000;6.956.000.000;17.407.000.576;14.522.234.880
HCA;HCA Healthcare;XLV;Health Care;Health Care Facilities;Tennessee;27/1/2015;1968;207.000;61.920.002.048;38.743.002.048;23.177.000.000;40.738.000.896;66.754.011.136
HD;Home Depot (The);XLY;Consumer Discretionary;Home Improvement Retail;Atlanta;31/3/1988;1978;470.000;154.876.002.304;102.098.002.304;52.778.000.000;49.493.000.192;291.720.429.568
HES;Hess Corporation;XLE;Energy;Integrated Oil & Gas;New York;31/5/1984;1919;1.623;10.535.000.064;2.794.000.064;7.741.000.000;9.267.000.320;43.584.237.568
HIG;Hartford (The);XLF;Financials;Property & Casualty Insurance;Connecticut;4/3/1957;1810;18.800;23.576.999.936;16.197.999.936;7.379.000.000;4.362.999.808;21.602.912.256
HII;Huntington Ingalls Industries;XLI;Industrials;Aerospace & Defense;Virginia;3/1/2018;2011;43.000;10.899.000.320;9.459.000.320;1.440.000.000;3.104.000.000;7.985.081.344
